PROCESS_DATE|TRANSACT_DATE|SUPPLIER_NO|SUPPLIER_NAME|STORE_NO|STORE_NAME|CLASS|DEPT|GROUP|BRAND|WORLD|COLOUR|SIZE|ITEM|BARCODE|QTY|ITEM_PRICE|GROSS_AMT|DISC_AUTO|DISC_PROMO|DISC_EMPLOYEE|DISC_FREE_ITEM|DISC_STRUK|DISC_PCT|NET_AMT|POS_NO|TRANSACT_NO|TRANSACT_LINE_NO
07-03-2025|07-03-2025|951195|"KASIH KARUNIA SEJATI PT.-951195"|352|"Sunrise MAL MJK"|"T-SHIRT BASIC"|"EMBA JEANS"|"MEN YOUNG CASUAL"|"EMBA JEANS"|"MEN DENIM"|GREY|27|16320902|620231011127|1|290000|290000|0|0|0|0|0|0|290000|02022|6354|1
07-03-2025|07-03-2025|951195|"KASIH KARUNIA SEJATI PT.-951195"|375|"Ekalokasari MAL BGR"|"T-SHIRT BASIC"|"EMBA JEANS"|"MEN YOUNG CASUAL"|"EMBA JEANS"|"MEN DENIM"|GREY|27|16320902|620231011127|1|290000|290000|0|0|0|0|0|0|290000|02056|1109|1
07-03-2025|07-03-2025|951195|"KASIH KARUNIA SEJATI PT.-951195"|555|"Metmal Bekasi"|"T-SHIRT BASIC"|"EMBA JEANS"|"MEN YOUNG CASUAL"|"EMBA JEANS"|"MEN DENIM"|BROWN|32|16322571|620231012732|1|290000|290000|0|0|0|0|0|0|290000|02047|7338|1
07-03-2025|07-03-2025|951195|"KASIH KARUNIA SEJATI PT.-951195"|536|"Kudus BZR"|"T-SHIRT BASIC"|"EMBA JEANS"|"MEN YOUNG CASUAL"|"EMBA JEANS"|"MEN DENIM"|BLACK|M|16322491|102063010202|1|429000|429000|214500|0|0|0|0|50|214500|01006|707|7
07-03-2025|07-03-2025|951195|"KASIH KARUNIA SEJATI PT.-951195"|376|"Mitra Malang HS"|"T-SHIRT BASIC"|"EMBA JEANS"|"MEN YOUNG CASUAL"|"EMBA JEANS"|"MEN DENIM"|BROWN|29|16322384|620231012729|1|290000|290000|0|0|0|0|0|0|290000|03025|4074|1
07-03-2025|07-03-2025|951195|"KASIH KARUNIA SEJATI PT.-951195"|233|"Bangkalan PLZ MAL"|"T-SHIRT BASIC"|"EMBA JEANS"|"MEN YOUNG CASUAL"|"EMBA JEANS"|"MEN DENIM"|GREY|32|16322268|620231011132|1|290000|290000|0|0|0|0|0|0|290000|80102|2061|1
07-03-2025|07-03-2025|951195|"KASIH KARUNIA SEJATI PT.-951195"|261|"Plaza Medan Fair TC"|"T-SHIRT BASIC"|"EMBA JEANS"|"MEN YOUNG CASUAL"|"EMBA JEANS"|"MEN DENIM"|GREY|32|16322268|620231011132|1|290000|290000|0|0|0|0|0|0|290000|01102|4202|1
07-03-2025|07-03-2025|951195|"KASIH KARUNIA SEJATI PT.-951195"|303|"Solo Square MAL"|"T-SHIRT BASIC"|"EMBA JEANS"|"MEN YOUNG CASUAL"|"EMBA JEANS"|"MEN DENIM"|GREY|32|16322268|620231011132|1|290000|290000|0|0|0|0|0|0|290000|01006|1406|4
07-03-2025|07-03-2025|951195|"KASIH KARUNIA SEJATI PT.-951195"|305|"Nagoya Hill TC Batam"|"T-SHIRT BASIC"|"EMBA JEANS"|"MEN YOUNG CASUAL"|"EMBA JEANS"|"MEN DENIM"|GREY|32|16322268|620231011132|1|290000|290000|0|0|0|0|0|0|290000|02017|2594|1
07-03-2025|07-03-2025|951195|"KASIH KARUNIA SEJATI PT.-951195"|352|"Sunrise MAL MJK"|"T-SHIRT BASIC"|"EMBA JEANS"|"MEN YOUNG CASUAL"|"EMBA JEANS"|"MEN DENIM"|GREY|32|16322268|620231011132|1|290000|290000|0|0|0|0|0|0|290000|02028|6381|2
07-03-2025|07-03-2025|951195|"KASIH KARUNIA SEJATI PT.-951195"|595|"BIP MAL Bandung"|"T-SHIRT BASIC"|"EMBA JEANS"|"MEN YOUNG CASUAL"|"EMBA JEANS"|"MEN DENIM"|GREY|32|16322268|620231011132|1|290000|290000|0|0|0|0|0|0|290000|82352|4682|4
07-03-2025|07-03-2025|951195|"KASIH KARUNIA SEJATI PT.-951195"|336|"Balikpapan Baru TC"|"T-SHIRT BASIC"|"EMBA JEANS"|"MEN YOUNG CASUAL"|"EMBA JEANS"|"MEN DENIM"|BLUE|30|17335485|616069019630|1|349000|349000|0|0|0|0|0|0|349000|02006|3839|7
07-03-2025|07-03-2025|951195|"KASIH KARUNIA SEJATI PT.-951195"|387|"Manhattan MAL Medan"|"T-SHIRT BASIC"|"EMBA JEANS"|"MEN YOUNG CASUAL"|"EMBA JEANS"|"MEN DENIM"|BLUE|30|17335485|616069019630|1|349000|349000|0|0|0|0|0|0|349000|03067|1151|2
07-03-2025|07-03-2025|951195|"KASIH KARUNIA SEJATI PT.-951195"|388|"Suncity MAL Madiun"|"T-SHIRT BASIC"|"EMBA JEANS"|"MEN YOUNG CASUAL"|"EMBA JEANS"|"MEN DENIM"|BLUE|30|17335485|616069019630|1|349000|349000|35000|0|0|0|0|10|314000|02016|3766|1
07-03-2025|07-03-2025|951195|"KASIH KARUNIA SEJATI PT.-951195"|473|"Gress MAL Gresik"|"T-SHIRT BASIC"|"EMBA JEANS"|"MEN YOUNG CASUAL"|"EMBA JEANS"|"MEN DENIM"|BLUE|30|17335485|616069019630|1|349000|349000|35000|0|0|0|0|10|314000|02023|7704|1
07-03-2025|07-03-2025|951195|"KASIH KARUNIA SEJATI PT.-951195"|415|"Plaza MAL Madiun"|"T-SHIRT BASIC"|"EMBA JEANS"|"MEN YOUNG CASUAL"|"EMBA JEANS"|"MEN DENIM"|BLUE|30|17335485|616069019630|1|349000|349000|35000|0|0|0|0|10|314000|01003|6026|3
07-03-2025|07-03-2025|951195|"KASIH KARUNIA SEJATI PT.-951195"|221|"Panakkukang MAL MKS"|"T-SHIRT BASIC"|"EMBA JEANS"|"MEN YOUNG CASUAL"|"EMBA JEANS"|"MEN DENIM"|BLUE|28|17335467|616069019628|1|349000|349000|35000|0|0|0|0|10|314000|02021|578|1
07-03-2025|07-03-2025|951195|"KASIH KARUNIA SEJATI PT.-951195"|336|"Balikpapan Baru TC"|"T-SHIRT BASIC"|"EMBA JEANS"|"MEN YOUNG CASUAL"|"EMBA JEANS"|"MEN DENIM"|BLUE|28|17335467|616069019628|1|349000|349000|0|0|0|0|0|0|349000|02007|3701|1
